./RotationSim t
5, -0.1062439869422826
6, -0.1066061212599121
7, -0.1069908330444426
8, -0.1070017821680919
9, -0.1070273754045934
10, -0.1069850426819785
11, -0.106962714236125
12, -0.106667903745652
13, -0.106577714024459
14, -0.1063880431812497
15, -0.1063305575970626
16, -0.1061354100433816
17, -0.1059937432472177
18, -0.105680796113295
19, -0.1055757610949589
20, -0.1053057602467587
21, -0.1051104089690006
22, -0.1048914194572104
23, -0.1046522075899034
24, -0.1043606218106553
25, -0.1041371358059824
26, -0.1038774506595256
27, -0.1036166658989553
28, -0.103274519900571
29, -0.1030210912073315
30, -0.1025992261870186
31, -0.1023011098817544
32, -0.1019340251961644
33, -0.1015373059961471
34, -0.1011987909919485
35, -0.1007913102547742
36, -0.1004782875585392
37, -0.1001175885385098
38, -0.09960827020473642
39, -0.0990986983421481
40, -0.09842644495698485
41, -0.09782165376228676
42, -0.09738410593881794
43, -0.09676104106103084
44, -0.09597713292074939
45, -0.0954638390449689
46, -0.09485331219024189
47, -0.0941572497228287
48, -0.09351913635502832
